cdr_id,msisdn,call_type,start_time,duration_sec,destination,circle,roaming_flag,charged_amount
120001,9441846981,Incoming,2026-05-19 18:01:00,1355,9814703362,Rajasthan,false,11.29
120002,9181233002,Incoming,2025-09-18 08:03:00,1871,9517979820,MP,false,15.59
120003,9282756188,Incoming,2025-08-26 18:49:00,1534,9595025974,Gujarat,false,12.78
120004,9817598267,Outgoing,2026-03-05 22:01:00,1029,9914544297,Tamil Nadu,true,8.57
120005,9858537522,Incoming,2025-11-08 12:02:00,2879,9878886536,Haryana,false,23.99
120006,9156397765,Outgoing,2025-08-28 00:29:00,2250,9226938698,Karnataka,false,18.75
120007,9776870176,Outgoing,2025-10-27 06:56:00,2038,9911426376,Chennai,false,16.98
120008,9826417842,Incoming,2025-12-26 09:10:00,1104,9856696852,UP West,false,9.20
120009,9606901726,Incoming,2026-03-05 13:48:00,2200,9386831030,Punjab,false,18.33
120010,9605619891,Incoming,2026-05-28 00:52:00,1329,9407460756,Rajasthan,false,11.07
120011,9860866938,Incoming,2025-12-27 15:17:00,2999,9680671576,Tamil Nadu,false,24.99
120012,9303404257,Outgoing,2026-02-25 06:59:00,1619,9369324639,Odisha,false,13.49
120013,9885021510,Incoming,2026-07-26 14:54:00,1783,9441733255,Punjab,false,14.86
120014,9395364898,Incoming,2025-09-12 16:10:00,1292,9478093902,Tamil Nadu,false,10.77
120015,9300033618,Incoming,2026-01-27 20:26:00,2135,9933443229,Assam,false,17.79
120016,9492976650,Outgoing,2026-03-05 08:31:00,3419,9480285619,Maharashtra,false,28.49
120017,9987962847,Outgoing,2025-12-14 04:19:00,887,9387079174,Odisha,false,7.39
120018,9760746650,Incoming,2026-03-26 21:04:00,2057,9781262871,Odisha,false,17.14
120019,9316729329,Incoming,2026-05-22 03:20:00,454,9369337271,Punjab,false,3.78
120020,9952036397,Outgoing,2026-07-05 14:14:00,2775,9119515529,Kolkata,true,23.12
120021,9043010004,Incoming,2026-03-14 15:36:00,1824,9915323908,West Bengal,false,15.20
120022,9594823692,Outgoing,2026-07-26 12:48:00,1847,9181233002,Kerala,false,15.39
120023,9912890254,Incoming,2025-09-01 08:28:00,100,9768220698,Bihar,false,0.83
120024,9482276814,Outgoing,2026-06-13 20:56:00,2252,9191762701,West Bengal,false,18.77
120025,9829979612,Incoming,2025-11-10 01:31:00,689,9719632210,Mumbai,false,5.74
120026,9649096166,Incoming,2025-12-31 00:27:00,3379,9994592472,Maharashtra,false,28.16
120027,9126973951,Outgoing,2026-08-04 07:22:00,548,9455033418,Mumbai,false,4.57
120028,9184298947,Outgoing,2025-09-22 08:57:00,1664,,Gujarat,false,13.87
120029,9066393064,Outgoing,2026-02-20 16:04:00,45,9924039619,Assam,false,0.38
120030,9560097356,Outgoing,2026-02-28 01:57:00,793,9882559367,Punjab,false,6.61
120031,9720814920,Outgoing,2026-04-04 02:20:00,2656,9263929473,Gujarat,false,22.13
120032,9086302430,Outgoing,2026-03-10 16:37:00,1592,9987962847,MP,false,13.27
120033,9260415010,Outgoing,2026-04-09 19:08:00,1588,9240949925,West Bengal,false,13.23
120034,9654775411,Outgoing,2025-09-21 22:37:00,2124,9504867370,Odisha,false,17.70
120035,9766727203,Incoming,2025-09-10 14:15:00,2562,9994592472,MP,false,21.35
120036,9821653555,Outgoing,2026-02-09 08:13:00,376,,West Bengal,false,3.13
120037,9297583812,Outgoing,2026-08-01 04:28:00,1782,9554154137,Tamil Nadu,false,14.85
120038,9867821564,Incoming,2026-03-28 00:38:00,435,9637449685,Haryana,false,3.62
120039,9220735426,Outgoing,2026-06-30 19:51:00,3364,9880154142,Kolkata,false,28.03
120040,9358375261,Outgoing,2025-08-11 12:42:00,2478,9684777684,Haryana,false,20.65
120041,9397391615,Outgoing,2026-01-18 00:59:00,600,9353531213,Assam,false,5.00
120042,9173279402,Incoming,2026-04-22 14:16:00,2874,9076526144,West Bengal,false,23.95
120043,9721469059,Incoming,2026-07-12 12:29:00,3138,9879224942,Haryana,false,26.15
120044,9950644548,Incoming,2025-09-12 01:53:00,204,9908925990,Karnataka,false,1.70
120045,9181045136,Incoming,2026-02-22 06:41:00,3206,9435235529,Odisha,true,26.72
120046,9866771832,Outgoing,2025-08-17 18:35:00,2976,,Chennai,false,24.80
120047,9717212766,Incoming,2026-02-23 14:17:00,1736,9836149659,Andhra Pradesh,false,14.47
120048,9538448491,Incoming,2025-09-04 12:52:00,652,9794251413,UP West,false,5.43
120049,9127115379,Outgoing,2026-02-25 01:04:00,2215,9460290468,Kolkata,false,18.46
120050,9456057502,Outgoing,2025-08-13 12:54:00,744,9954195582,MP,false,6.20
120051,9701765990,Outgoing,2025-12-11 01:18:00,1243,9054093769,Kolkata,false,10.36
120052,9090559534,Incoming,2026-05-07 17:12:00,2118,9193368555,Tamil Nadu,false,17.65
120053,9171524016,Incoming,2026-06-13 03:31:00,2265,9421368869,Maharashtra,false,18.88
120054,9305396013,Incoming,2025-12-03 16:44:00,899,9822571845,Karnataka,false,7.49
120055,9023427973,Incoming,2025-09-29 18:57:00,1032,9847355174,Kolkata,false,8.60
120056,9720507464,Incoming,2025-09-07 15:30:00,92,9802275811,Andhra Pradesh,false,0.77
120057,9397508951,Outgoing,2026-07-08 16:53:00,28,9618242440,Delhi,false,0.23
