corp_id,company_name,contact_person,contact_phone,segment,created_at
17001,Vertex Technologies,Joseph Doe,9557327366,Enterprise,2026-05-27
17002,Nova Ltd,Jennifer Menon,9585174124,Enterprise,2025-02-26
17003,Vertex Solutions,Aditya Shah,9445521965,SMB,2024-02-28
17004,Unity Solutions,Ramesh Williams,9393922143,Enterprise,2024-02-09
17005,Vertex Traders,Sarah Menon,9147279342,SMB,2024-02-05
17006,Global Enterprises,Rahul Desai,9747666177,SMB,2024-02-20
17007,Beta Traders,Diya Kumar,9560781862,Enterprise,2025-09-17
17008,Beta Technologies,Aarav Verma,9921125164,Enterprise,2025-06-29
17009,Global Industries,Sanjay Menon,9030623563,SMB,2026-05-20
17010,Horizon Enterprises,Aditi Bhatt,9433089877,SMB,2025-02-14
17011,Nova Traders,Elizabeth Chopra,9707891870,SMB,2025-05-23
17012,Beta Industries,Kavya Iyer,9816353839,SMB,2025-01-15
17013,Prime Ltd,Suresh Sen,9219515933,Enterprise,2025-04-23
17014,Unity Technologies,Meera Miller,9600477168,SMB,2025-09-10
17015,Prime Systems,Patricia Garcia,9046859682,Enterprise,2025-06-04
17016,Unity Ltd,Sunita Singh,9701322484,SMB,2024-08-28
17017,Vertex Ltd,Krishna Miller,9052060018,SMB,2024-02-02
17018,Alpha Systems,Mary Garcia,9742331411,SMB,2026-06-21
17019,Global Ltd,Sarah Malhotra,9314762320,SMB,2024-06-28
17020,Beta Traders,Amit Singh,9347876706,SMB,2024-08-22
17021,Summit Traders,Charles Kapoor,9151504244,Enterprise,2026-03-15
17022,Summit Industries,Sunita Das,9736273785,Enterprise,2025-03-18
17023,Vertex Solutions,Vihaan Bhatt,9484241271,Enterprise,2025-08-31
17024,Beta Enterprises,Kiran Pillai,9802116882,SMB,2026-05-07
17025,Unity Ltd,Diya Agarwal,9353509898,SMB,2024-05-11
17026,Prime Technologies,Ravi Kumar,9676924953,SMB,2026-04-07
17027,Alpha Corp,Elizabeth Miller,9700537974,SMB,2025-01-24
17028,Prime Traders,Ananya Ghosh,9426367316,SMB,2024-03-08
17029,Beta Ltd,Ananya Kapoor,9282178399,SMB,2025-01-03
17030,Vertex Corp,Anil Reddy,9506820284,SMB,2025-04-29
17031,Unity Traders,Diya Garcia,9411605334,SMB,2026-07-29
17032,Beta Enterprises,Manoj Garcia,9219814221,SMB,2024-08-13
17033,Horizon Solutions,Mary Davis,9239710366,SMB,2025-11-15
17034,Prime Systems,Rahul Nair,9089160761,SMB,2025-05-03
17035,Beta Ltd,Rekha Malhotra,9958713069,Enterprise,2024-04-22
17036,Summit Technologies,Diya Das,9123129743,SMB,2025-06-04
17037,Nova Traders,Anil Chopra,9550367383,SMB,2024-10-14
17038,Global Traders,Sunita Brown,9793800340,SMB,2023-12-11
17039,Alpha Traders,Divya Mukherjee,9367684627,SMB,2026-05-21
17040,Summit Ltd,Manoj Kapoor,9992454364,SMB,2025-11-19
17041,Beta Enterprises,Linda Desai,9043099113,Enterprise,2025-06-28
17042,Nova Systems,William Das,9179824355,SMB,2026-01-26
17043,Bright Enterprises,Jennifer Johnson,9512855951,SMB,2025-04-12
17044,Bright Traders,Rahul Doe,9316338949,Enterprise,2024-06-30
17045,Alpha Industries,Susan Wilson,9913933398,SMB,2024-01-05
17046,Nova Technologies,Karen Mehta,9794409163,SMB,2024-12-31
17047,Global Corp,Richard Reddy,9696833986,SMB,2026-03-30
17048,Beta Systems,David Sen,9706902809,Enterprise,2023-11-20
17049,Prime Solutions,James Pillai,9739284949,SMB,2025-11-18
17050,Unity Technologies,Rohan Singh,9622918819,SMB,2025-10-02
17051,Alpha Systems,Arjun Agarwal,9185506421,Enterprise,2025-05-11
17052,Unity Corp,Saanvi Das,9410742220,SMB,2025-10-18
17053,Alpha Technologies,Priya Verma,9242142701,SMB,2024-04-13
17054,Alpha Traders,Reyansh Sen,9449743983,Enterprise,2024-08-18
17055,Prime Systems,Swati Joshi,9675602691,Enterprise,2026-08-01
17056,Unity Corp,Rekha Banerjee,9724487076,SMB,2025-10-02
17057,Unity Technologies,Reyansh Johnson,9572615643,SMB,2024-09-29
17058,Beta Technologies,Michael Joshi,9686998929,SMB,2025-11-14
17059,Summit Industries,Reyansh Das,9938099091,SMB,2025-10-05
17060,Horizon Solutions,Rekha Johnson,9143547641,SMB,2024-06-02
17061,Unity Corp,Kavya Ghosh,9636658035,SMB,2024-07-10
17062,Prime Corp,Pooja Agarwal,9406161552,Enterprise,2024-07-30
17063,Prime Industries,Riya Patel,9216111936,SMB,2025-10-21
17064,Bright Industries,Mary Chopra,9503383550,Enterprise,2024-11-17
17065,Summit Ltd,Linda Rao,9062477807,Enterprise,2025-10-11
17066,Unity Enterprises,Mary Mehta,9983249722,SMB,2024-04-22
17067,Global Ltd,Karen Patel,9156672463,SMB,2026-03-03
17068,Nova Technologies,Elizabeth Sen,9203413475,SMB,2023-11-16
17069,Vertex Technologies,Suresh Brown,9387810992,SMB,2024-05-06
17070,Summit Solutions,Aarav Doe,9164143613,SMB,2025-08-20
17071,Summit Traders,Karen Patel,9903034777,SMB,2025-01-23
17072,Horizon Technologies,Nisha Miller,9638914165,SMB,2026-05-06
17073,Unity Corp,Reyansh Verma,9519456539,SMB,2026-04-23
17074,Bright Traders,Rahul Williams,9913397444,SMB,2025-11-10
17075,Unity Technologies,Sai Joshi,9132401974,SMB,2025-03-26
17076,Prime Systems,Karen Desai,9843819974,SMB,2024-07-24
17077,Summit Enterprises,Ravi Ghosh,9054785981,SMB,2024-01-31
17078,Bright Traders,Saanvi Johnson,9419828111,SMB,2026-05-02
17079,Unity Technologies,William Ghosh,9497349954,SMB,2024-01-21
17080,Unity Solutions,Thomas Joshi,9522127545,SMB,2024-01-31
17081,Global Systems,Diya Desai,9896456041,SMB,2025-03-10
17082,Horizon Industries,James Malhotra,9960140499,SMB,2025-07-01
17083,Beta Solutions,Sneha Menon,9442316673,Enterprise,2024-10-02
17084,Prime Systems,Isha Ghosh,9376951052,SMB,2026-05-23
17085,Prime Traders,Thomas Miller,9811761703,SMB,2024-07-26
17086,Alpha Systems,Ananya Kapoor,9507326029,Enterprise,2024-04-01
17087,Summit Solutions,Susan Reddy,9846807686,SMB,2024-11-12
17088,Global Technologies,Manoj Kumar,9180559071,Enterprise,2024-02-05
17089,Unity Enterprises,Vivaan Johnson,9271492155,SMB,2025-01-30
17090,Vertex Corp,Kavya Das,9451366689,SMB,2025-12-21
17091,Alpha Traders,Amit Davis,9737755888,SMB,2024-06-10
17092,Unity Industries,Ishaan Reddy,9744265612,SMB,2026-05-15
17093,Global Enterprises,Priya Shah,9590121990,SMB,2024-01-23
17094,Vertex Ltd,Jessica Das,9424004989,Enterprise,2024-09-27
17095,Vertex Ltd,Suresh Verma,9649362734,SMB,2025-10-06
17096,Unity Systems,Jessica Dutta,9030155635,Enterprise,2024-01-16
17097,Horizon Systems,Jessica Iyer,9044644667,SMB,2025-03-15
17098,Prime Systems,Priya Shah,9596605119,Enterprise,2024-12-01
17099,Unity Industries,Rahul Menon,9347603303,Enterprise,2025-10-20
17100,Prime Technologies,Saanvi Singh,9921898568,SMB,2024-09-14
17101,Alpha Solutions,Ananya Iyer,9183174150,SMB,2025-08-25
17102,Global Traders,Riya Gupta,9946786439,SMB,2025-01-19
17103,Alpha Corp,Sneha Verma,9432373739,SMB,2026-02-01
17104,Bright Solutions,Neha Shah,9775369311,SMB,2024-11-25
17105,Alpha Ltd,Pooja Wilson,9952975480,Enterprise,2024-01-15
17106,Global Solutions,Sunita Rao,9424480106,SMB,2024-03-30
17107,Nova Industries,Kavya Bhatt,9900150907,SMB,2024-12-30
17108,Horizon Enterprises,Joseph Nair,9340374867,SMB,2024-12-07
17109,Nova Systems,Charles Williams,9298763229,SMB,2024-07-17
17110,Prime Solutions,Sarah Mehta,9424143476,SMB,2025-08-18
17111,Vertex Industries,Jennifer Bhatt,9610426778,SMB,2026-04-18
17112,Alpha Enterprises,Vihaan Patel,9458779170,SMB,2025-10-23
17113,Global Traders,Divya Smith,9706329791,SMB,2026-04-06
17114,Summit Corp,Nisha Doe,9453448617,Enterprise,2025-05-23
17115,Nova Systems,Rohan Roy,9430937179,SMB,2025-01-23
17116,Prime Traders,Kiran Ghosh,9795542923,SMB,2024-01-20
17117,Summit Systems,Riya Sharma,9637666927,Enterprise,2025-11-23
17118,Horizon Traders,Barbara Bhatt,9762191869,SMB,2026-03-16
17119,Vertex Ltd,Thomas Malhotra,9602454375,Enterprise,2025-09-07
17120,Beta Solutions,Sarah Singh,9298476465,SMB,2026-04-05
17121,Beta Traders,Divya Jones,9012891931,SMB,2025-08-18
17122,Prime Ltd,Jessica Kumar,9144638291,SMB,2025-04-14
17123,Nova Traders,Sneha Roy,9215546179,Enterprise,2023-12-09
17124,Bright Technologies,Charles Wilson,9426925982,SMB,2024-03-14
17125,Horizon Systems,Anil Chatterjee,9253604637,SMB,2024-08-16
17126,Vertex Systems,Ramesh Ghosh,9045855348,SMB,2025-04-25
17127,Horizon Industries,Shreya Shah,9256271229,SMB,2024-05-27
17128,Beta Corp,Thomas Iyer,9859035392,SMB,2025-05-12
17129,Unity Solutions,Joseph Pillai,9643991774,Enterprise,2024-01-17
17130,Horizon Systems,Rekha Sharma,9126847325,SMB,2026-06-07
17131,Nova Traders,Aditi Patel,9487990726,SMB,2024-08-22
17132,Horizon Solutions,William Sen,9856565519,SMB,2024-02-05
17133,Bright Corp,Sai Jones,9664895616,Enterprise,2024-09-28
17134,Beta Ltd,Ravi Rao,9850531715,Enterprise,2025-04-26
17135,Horizon Industries,Riya Wilson,9651058894,SMB,2024-10-13
17136,Vertex Technologies,Rekha Bhatt,9057194250,SMB,2024-12-15
17137,Bright Enterprises,Kavya Garcia,9874781975,SMB,2026-02-05
17138,Prime Ltd,Suresh Williams,9386011691,SMB,2026-01-25
17139,Nova Ltd,Sai Mukherjee,9772622805,SMB,2024-05-17
17140,Summit Technologies,Krishna Johnson,9958321764,Enterprise,2025-01-12
17141,Beta Systems,Vihaan Patel,9505518445,SMB,2026-08-04
17142,Horizon Corp,Meera Joshi,9034498300,SMB,2025-08-30
17143,Summit Enterprises,Diya Wilson,9545508914,Enterprise,2024-11-17
17144,Alpha Systems,Kavya Johnson,9957616675,SMB,2024-01-31
17145,Beta Ltd,Nisha Ghosh,9755533023,SMB,2024-06-21
17146,Unity Traders,Aditi Banerjee,9327098329,Enterprise,2024-06-12
17147,Horizon Traders,Ishaan Jones,9720484962,Enterprise,2024-12-14
17148,Horizon Enterprises,Ramesh Shah,9387740161,SMB,2024-06-20
17149,Unity Ltd,Deepak Malhotra,9524304223,SMB,2025-03-08
17150,Vertex Corp,Jessica Verma,9903618099,SMB,2024-03-30
17151,Horizon Industries,Arjun Sen,9576984617,SMB,2025-11-10
17152,Beta Industries,Linda Dutta,9221459792,SMB,2025-12-26
17153,Bright Traders,Meera Das,9206934050,SMB,2023-12-03
17154,Bright Enterprises,Aditi Verma,9935091852,SMB,2026-03-04
17155,Prime Corp,Elizabeth Kapoor,9329431747,Enterprise,2025-03-02
17156,Beta Solutions,Robert Nair,9679328656,SMB,2024-05-27
17157,Global Enterprises,Jennifer Singh,9314537779,SMB,2025-04-09
17158,Alpha Traders,Anjali Verma,9890163059,SMB,2025-04-20
17159,Unity Ltd,Nisha Menon,9350224014,SMB,2024-12-12
17160,Nova Corp,Deepak Reddy,9745465475,SMB,2024-09-13
17161,Unity Traders,Swati Sen,9588684212,Enterprise,2025-03-15
17162,Global Traders,Susan Nair,9985677216,SMB,2024-01-08
17163,Alpha Traders,Sarah Bhatt,9867034961,Enterprise,2025-02-28
17164,Vertex Systems,Thomas Johnson,9644118686,Enterprise,2026-01-29
17165,Nova Traders,Kavya Gupta,9394792949,Enterprise,2024-11-29
17166,Summit Ltd,Meera Sen,9328940946,SMB,2024-09-20
17167,Unity Corp,Anil Nair,9302753167,SMB,2024-08-02
17168,Summit Industries,Arjun Davis,9000414303,SMB,2026-02-03
17169,Beta Systems,Diya Iyer,9002846570,SMB,2025-09-19
17170,Vertex Systems,David Agarwal,9248551644,SMB,2024-01-29
17171,Alpha Industries,Divya Rao,9141906550,SMB,2024-12-13
17172,Horizon Ltd,Charles Davis,9470796410,SMB,2025-01-03
17173,Vertex Ltd,Isha Miller,9326290097,SMB,2025-10-04
17174,Bright Solutions,Susan Bhatt,9832432277,Enterprise,2024-01-22
