sim_id,iccid,msisdn,sim_type,status,issue_date
7001,89014523988952549054,9631457717,Nano,Inactive,2026-01-12
7002,89014880021703981626,9519752703,Nano,Active,2024-08-14
7003,89014226043426350406,9063760133,Nano,Active,2023-02-18
7004,89014936880768023783,9816924624,Nano,Active,2026-04-14
7005,89014613274203107225,9321921613,Micro,Active,2023-12-11
7006,89014578113522258680,9564427073,Micro,Active,2023-07-22
7007,89014721220769878942,9752611744,Nano,Inactive,2026-06-22
7008,89014632364304732055,9045768958,Nano,Active,2022-04-09
7009,89014260384209112025,9371579682,Nano,Active,2022-06-06
7010,89014256120011782136,9971399378,Micro,Active,2025-03-30
7011,89014367846481632699,9112168601,Nano,Active,2026-03-27
7012,89014476789091807662,9013038166,Nano,Active,2022-11-28
7013,89014591492065345977,9094890871,Nano,Active,2024-08-26
7014,89014759558852650972,9147450389,Nano,Active,2021-09-05
7015,89014810314669465211,9619471980,Nano,Active,2022-04-05
7016,89014430666311598403,9711559117,Micro,Inactive,2026-03-17
7017,89014458487206692851,9406287036,Micro,Active,2025-04-08
7018,89014627712803362005,9596576052,Nano,Inactive,2023-06-25
7019,89014622229082367850,9751471448,Micro,Active,2022-01-05
7020,89014641149144149512,9476792837,Nano,Blocked,2024-10-07
7021,89014169515366151601,9129360373,Nano,Blocked,2025-05-08
7022,89014762517329602511,9012406996,Nano,Active,2023-11-30
7023,89014829076718234709,9300033618,Nano,Active,2022-07-31
7024,89014876441302242533,9477728139,Nano,Inactive,2024-07-26
7025,89014530500323585184,9726984694,Micro,Active,2022-06-14
7026,89014731017601290487,9304705811,Nano,Active,2022-11-05
7027,89014948674959001739,9070789348,Micro,Active,2022-07-08
7028,89014462891080576118,9906871524,Nano,Active,2025-04-14
7029,89014424743459804343,9867821564,Nano,Active,2024-02-12
7030,89014146541799608233,9633487067,Nano,Active,2021-09-05
7031,89014222714835991162,9124236477,Nano,Inactive,2026-06-19
7032,89014301427866336450,9485475786,Nano,Blocked,2024-08-27
7033,89014166324010894322,9885135188,Micro,Active,2023-02-08
7034,89014289436867255014,9843341034,Nano,Blocked,2021-12-25
7035,89014927697435916479,9923876716,Micro,Active,2021-11-02
7036,89014016583874858247,9491210062,Nano,Inactive,2024-02-21
7037,89014442630902704627,9622843019,Nano,Inactive,2025-04-10
7038,89014166429541185750,9786189381,Nano,Inactive,2021-10-15
7039,89014892995803387600,9427582923,Nano,Active,2022-06-18
7040,89014423490582509293,9901281723,Nano,Active,2022-10-24
7041,89014370393174374151,9338926063,Nano,Active,2025-11-24
7042,89014314598662862320,9533435588,Nano,Active,2023-06-26
7043,89014232915384677107,9426622487,Nano,Active,2026-01-15
7044,89014940332137418606,9850489326,Nano,Active,2025-01-16
7045,89014005780971393071,9679413933,Nano,Blocked,2025-06-03
7046,89014477731883050474,9370616912,Nano,Active,2024-10-30
7047,89014964694102161936,9480293802,Micro,Active,2024-11-16
7048,89014110052657480921,9171781247,Nano,Active,2024-01-17
7049,89014144806485228012,9740122199,Nano,Blocked,2024-11-14
7050,89014058901999602779,9435088568,Nano,Active,2022-09-30
7051,89014675990160160524,9675186493,Nano,Active,2023-03-14
7052,89014870100509674735,9818784289,Nano,Blocked,2026-06-13
7053,89014182021047606142,9341257393,Nano,Active,2022-01-16
7054,89014910445374030606,9987962847,Nano,Active,2023-10-02
7055,89014497720358293099,9308612865,Nano,Active,2024-07-15
7056,89014166867077729847,9924039619,Micro,Active,2022-02-01
7057,89014014059782941857,9837948417,Micro,Active,2023-06-17
7058,89014115297738306798,9184840683,Nano,Active,2023-11-24
7059,89014075787885844963,9696216448,Nano,Active,2025-01-01
7060,89014781127472869352,9987099431,Nano,Active,2023-09-15
7061,89014475203671547126,9445606160,Nano,Active,2022-03-08
7062,89014621673060811981,9607041615,Nano,Active,2023-10-06
7063,89014985983105372831,9047616322,Nano,Inactive,2024-12-03
7064,89014042413290463434,9107697011,Nano,Blocked,2023-07-18
7065,89014033614919593903,9698778491,Nano,Blocked,2023-12-21
7066,89014438964246135469,9429368734,Nano,Active,2025-11-02
7067,89014574971107212319,9206038695,Micro,Active,2022-08-25
7068,89014386229399692938,9232719194,Nano,Inactive,2026-04-18
7069,89014690834080041633,9412167410,Nano,Active,2023-01-01
7070,89014861938632790350,9989560037,Nano,Active,2024-09-02
7071,89014316597516087707,9015933157,Nano,Active,2024-03-28
7072,89014734605182121796,9943606523,Nano,Blocked,2022-10-10
7073,89014030845006851659,9448464065,Nano,Active,2022-11-05
7074,89014637113831068874,9136712602,Nano,Active,2022-10-23
7075,89014096843207398302,9435235529,Nano,Active,2023-10-27
7076,89014187450723132042,9860642466,Nano,Active,2024-10-07
7077,89014509386152656706,9027649972,Nano,Active,2026-02-11
7078,89014456370922498107,9280025769,Nano,Inactive,2024-10-29
7079,89014115786678025430,9438301819,Nano,Active,2026-07-11
7080,89014868894128270968,9054098690,Nano,Inactive,2025-11-14
7081,89014750111932063586,9907924082,Micro,Active,2023-01-17
7082,89014986989537515272,9970527161,Nano,Active,2025-02-07
7083,89014475444451916514,9554154137,Nano,Active,2024-02-04
7084,89014400347577654733,9971790799,Nano,Inactive,2026-05-09
7085,89014158565686079006,9557039032,Nano,Active,2022-05-02
7086,89014088765905624849,9344013321,Nano,Active,2023-02-06
7087,89014146255377971344,9687032557,Nano,Blocked,2025-02-09
7088,89014500875154257880,9737037725,Nano,Active,2025-04-12
7089,89014308719890470198,9480972091,Nano,Active,2022-01-24
7090,89014451682379949734,9840608577,Micro,Active,2024-09-15
7091,89014451412404265577,9977841631,Nano,Active,2025-10-24
7092,89014804035636469301,9114759813,Nano,Active,2026-06-05
7093,89014892066885464441,9537265562,Nano,Active,2025-07-15
7094,89014208655482131367,9223427366,Nano,Inactive,2022-09-15
7095,89014060796738670459,9043010004,Nano,Active,2024-02-08
7096,89014582152474924999,9719827192,Nano,Active,2023-09-25
7097,89014402475330354901,9395709451,Nano,Active,2024-08-18
7098,89014970745564642429,9506592288,Nano,Active,2022-02-08
7099,89014040334061102218,9203205842,Micro,Inactive,2026-05-25
7100,89014948673499721559,9290913772,Nano,Active,2026-03-07
7101,89014516739391762814,9441846981,Nano,Active,2022-08-13
7102,89014336695617672365,9661980849,Nano,Active,2023-08-20
7103,89014800542112966630,9082845649,Nano,Blocked,2023-04-11
7104,89014343447035470709,9542651279,Nano,Active,2025-12-25
7105,89014852136119804141,9736943737,Nano,Active,2026-01-10
7106,89014660956751907851,9911426376,Nano,Active,2021-12-03
7107,89014779888818170973,9542948658,Micro,Inactive,2025-11-05
7108,89014280543835448806,9028781181,Micro,Active,2022-06-03
7109,89014111498279297487,9740804790,Nano,Inactive,2024-04-04
7110,89014043238757706106,9481502489,Nano,Active,2025-09-19
7111,89014109005733710616,9818603288,Nano,Active,2023-02-13
7112,89014829288341078600,9784734680,Nano,Active,2024-02-27
7113,89014805965434437608,9970882968,Nano,Active,2024-03-18
7114,89014984843158745008,9684474610,Nano,Active,2023-02-22
7115,89014533346649795987,9879224942,Nano,Active,2023-03-13
7116,89014893882141004864,9168608302,Nano,Active,2024-10-09
7117,89014533059745330390,9855642368,Nano,Active,2025-10-29
7118,89014145684344302668,9113352689,Nano,Active,2025-11-26
7119,89014027089149254531,9458302299,Nano,Active,2026-03-30
7120,89014476423520344322,9430007249,Nano,Active,2024-02-06
7121,89014898823401853484,9135913801,Nano,Active,2022-03-21
7122,89014508374464157805,9721639898,Nano,Active,2023-07-06
7123,89014546844154671098,9058427539,Nano,Active,2022-06-10
7124,89014559198428334218,9260090340,Micro,Active,2022-10-26
7125,89014874142748597363,9329531166,Nano,Inactive,2022-04-10
7126,89014700131800805398,9559929500,Nano,Active,2021-09-04
7127,89014192756571907041,9729137019,Nano,Active,2025-11-07
7128,89014169195731642638,9357633243,Nano,Active,2023-02-10
7129,89014547112909712190,9194284817,Nano,Active,2025-06-05
7130,89014272044403570022,9114217757,Nano,Active,2023-04-10
7131,89014475637921487671,9873334549,Nano,Active,2026-05-25
7132,89014185719244230983,9858401300,Nano,Active,2024-11-16
7133,89014818153614687051,9797942466,Nano,Blocked,2026-06-17
7134,89014588907519575454,9568124974,Nano,Active,2025-09-09
7135,89014782027640691777,9022351267,Nano,Active,2024-06-04
7136,89014892298902776893,9791762622,Nano,Active,2021-12-23
