subscription_id,customer_id,msisdn,plan_id,activation_date,expiry_date,status,renewal_type
3001,1001,9175500265,2007,2025-11-06,2025-11-13,Expired,Manual
3002,1002,9320419026,2015,2026-07-16,2026-07-17,Expired,Auto
3003,1003,9676065242,2007,2025-10-05,2025-10-12,Expired,Auto
3004,1004,9861175745,2010,2025-12-04,2026-06-02,Expired,Auto
3005,1005,9076526144,2007,2026-02-22,2026-03-01,Expired,Manual
3006,1006,9413982250,2003,2026-04-01,2026-06-30,Expired,Auto
3007,1007,9736384200,2003,2025-12-25,2026-03-25,Expired,Manual
3008,1008,9785244063,2012,2026-05-03,2026-05-31,Expired,Auto
3009,1009,9088065007,2011,2026-04-09,2026-10-06,Active,Auto
3010,1010,9764120703,2013,2026-01-05,2026-04-05,Expired,Auto
3011,1011,9455927236,2014,2025-12-13,2026-02-07,Expired,Auto
3012,1012,9539856591,2004,2025-09-10,2025-11-05,Expired,Manual
3013,1013,9207627540,2022,2026-02-22,2026-03-24,Expired,Auto
3014,1014,9217846198,2009,2026-01-19,2026-01-26,Expired,Manual
3015,1015,9437201389,2008,2026-01-05,2027-01-05,Active,Auto
3016,1016,9491810458,2024,2025-09-01,2025-09-08,Expired,Auto
3017,1017,9496963502,2015,2026-04-21,2026-04-22,Expired,Auto
3018,1018,9621024804,2012,2026-07-29,2026-08-26,Active,Auto
3019,1019,9848695986,2012,2026-08-05,2026-09-02,Active,Auto
3020,1020,9022351267,2005,2026-07-23,2026-07-24,Expired,Auto
3021,1021,9378947562,2009,2026-07-07,2026-07-14,Expired,Manual
3022,1022,9614032373,2013,2025-08-24,2025-11-22,Expired,Manual
3023,1023,9419423697,2012,2025-09-09,2025-10-07,Expired,Auto
3024,1024,9197343538,2006,2025-11-27,2025-12-27,Expired,Manual
3025,1025,9808246308,2017,2026-03-03,2027-03-03,Active,Manual
3026,1026,9470263545,2006,2025-08-21,2025-09-20,Expired,Auto
3027,1027,9479521121,2001,2026-06-27,2026-06-28,Expired,Auto
3028,1028,9243928104,2019,2026-02-13,2026-08-12,Active,Auto
3029,1029,9254509076,2023,2025-12-26,2026-02-20,Expired,Manual
3030,1030,9802275811,2004,2025-08-28,2025-10-23,Expired,Auto
3031,1031,9540043209,2025,2025-10-04,2025-10-05,Expired,Manual
3032,1032,9431144647,2021,2026-05-30,2026-08-22,Active,Auto
3033,1033,9725946196,2007,2025-11-02,2025-11-09,Expired,Auto
3034,1034,9892539588,2005,2026-06-29,2026-06-30,Expired,Manual
3035,1035,9431652707,2010,2026-02-18,2026-08-17,Active,Auto
3036,1036,9890726303,2002,2025-11-02,2025-11-09,Expired,Auto
3037,1037,9112030342,2012,2025-12-15,2026-01-12,Expired,Auto
3038,1038,9425099296,2009,2025-08-27,2025-09-03,Expired,Manual
3039,1039,9706492763,2003,2026-03-19,2026-06-17,Expired,Manual
3040,1040,9595982848,2009,2025-12-14,2025-12-21,Expired,Auto
3041,1041,9665891208,2004,2025-11-14,2026-01-09,Expired,Manual
3042,1042,9146794714,2011,2026-04-06,2026-10-03,Active,Auto
3043,1043,9029980269,2021,2026-05-11,2026-08-03,Expired,Auto
3044,1044,9718137502,2021,2026-01-19,2026-04-13,Expired,Manual
3045,1045,9904464900,2015,2025-09-08,2025-09-09,Expired,Auto
3046,1046,9724234404,2011,2026-04-09,2026-10-06,Active,Manual
3047,1047,9313678796,2016,2025-09-05,2025-12-04,Expired,Auto
3048,1048,9098217330,2019,2025-11-08,2026-05-07,Expired,Auto
3049,1049,9001662644,2001,2026-06-02,2026-06-03,Expired,Auto
3050,1050,9214415256,2022,2026-02-04,2026-03-06,Expired,Manual
3051,1051,9890825533,2013,2025-09-17,2025-12-16,Expired,Auto
3052,1052,9096455686,2008,2025-11-18,2026-11-18,Active,Auto
3053,1053,9690535970,2005,2025-09-03,2025-09-04,Expired,Auto
3054,1054,9451324357,2011,2026-06-08,2026-12-05,Active,Auto
3055,1055,9933786876,2015,2025-09-03,2025-09-04,Expired,Auto
3056,1056,9756865116,2022,2025-08-23,2025-09-22,Expired,Manual
3057,1057,9654775411,2017,2025-09-04,2026-09-04,Active,Auto
3058,1058,9924300529,2007,2026-06-05,2026-06-12,Expired,Auto
3059,1059,9196472126,2018,2026-02-28,2026-04-25,Expired,Auto
3060,1060,9090559534,2010,2026-04-01,2026-09-28,Active,Auto
3061,1061,9174668074,2014,2026-04-27,2026-06-22,Expired,Auto
3062,1062,9744493163,2010,2026-07-20,2027-01-16,Active,Auto
3063,1063,9479646706,2019,2026-02-15,2026-08-14,Active,Auto
3064,1064,9434013329,2015,2025-12-28,2025-12-29,Expired,Auto
3065,1065,9184840683,2009,2025-10-30,2025-11-06,Expired,Auto
3066,1066,9856039757,2002,2025-12-14,2025-12-21,Expired,Manual
3067,1067,9319295201,2020,2026-07-11,2027-07-11,Active,Auto
3068,1068,9080972256,2015,2025-09-02,2025-09-03,Expired,Auto
3069,1069,9789135342,2020,2026-05-28,2027-05-28,Active,Auto
3070,1070,9430959230,2021,2026-07-09,2026-10-01,Active,Auto
3071,1071,9345866103,2009,2025-10-04,2025-10-11,Expired,Auto
3072,1072,9193368555,2023,2026-06-26,2026-08-21,Active,Manual
3073,1073,9516681609,2015,2026-02-17,2026-02-18,Expired,Auto
3074,1074,9943945568,2003,2026-05-26,2026-08-24,Active,Auto
3075,1075,9721639898,2014,2026-06-15,2026-08-10,Active,Auto
3076,1076,9922134619,2008,2026-02-08,2027-02-08,Active,Auto
